room,referencedby,percentage
amber,Collaborators,54
angular,Collaborators,28.2
appium,Collaborators,0.7
aws-sdk-go,Collaborators,15.8
bootstrap,Collaborators,8.3
corefx,Collaborators,71.1
deeplearning4j,Collaborators,25.5
gulp,Collaborators,0
JTAppleCalendar,Collaborators,64.5
magento2,Collaborators,28.6
mailboxer,Collaborators,66.7
material-design-lite,Collaborators,52.4
meteor,Collaborators,13.3
MonoGame,Collaborators,66.7
open-event-android,Collaborators,44.4
Perfect,Collaborators,64.3
react-starter-kit,Collaborators,54.6
scala,Collaborators,74.3
shuup,Collaborators,65.2
theodinproject,Collaborators,88.9
TypeScript,Collaborators,16
vue,Collaborators,1
webdriverio,Collaborators,15.9
zipkin,Collaborators,87.6
amber,Contributors,16.8
angular,Contributors,33.9
appium,Contributors,0
aws-sdk-go,Contributors,0
bootstrap,Contributors,33.4
corefx,Contributors,24.3
deeplearning4j,Contributors,19.2
gulp,Contributors,5.9
JTAppleCalendar,Contributors,1.3
magento2,Contributors,0
mailboxer,Contributors,0
material-design-lite,Contributors,14.3
meteor,Contributors,0
MonoGame,Contributors,12.7
open-event-android,Contributors,26
Perfect,Contributors,0
react-starter-kit,Contributors,5.7
scala,Contributors,15.7
shuup,Contributors,0
theodinproject,Contributors,11.1
TypeScript,Contributors,10.4
vue,Contributors,11.9
webdriverio,Contributors,33.9
zipkin,Contributors,5.6
amber,End-users,29.2
angular,End-users,37.9
appium,End-users,99.3
aws-sdk-go,End-users,84.2
bootstrap,End-users,58.3
corefx,End-users,4.6
deeplearning4j,End-users,55.3
gulp,End-users,94.1
JTAppleCalendar,End-users,34.2
magento2,End-users,71.4
mailboxer,End-users,33.3
material-design-lite,End-users,33.3
meteor,End-users,86.7
MonoGame,End-users,20.6
open-event-android,End-users,29.6
Perfect,End-users,35.7
react-starter-kit,End-users,39.7
scala,End-users,10
shuup,End-users,34.8
theodinproject,End-users,0
TypeScript,End-users,73.6
vue,End-users,87.1
webdriverio,End-users,50.2
zipkin,End-users,6.8
