Issue#,,,,,,,,
12,gitter activity,,,,,,,
9,working on this,,,,,technical,0,
57,PR,worked on this,,,,gitter activity,3,
70,PR,worked on this,,,,PR,7,
108,PR,worked on this,,,,contribution,0,
109,PR,worked on this,,,,supplementary,0,
125,PR,worked on this,fixed bug ,,,working on this,3,7
127,gitter activity,opened,,,,not clear,1,
135,PR,worked on this,,,,,,
136,PR,worked on this,,,,,,
164,gitter activity,information,tutorials,,,,,
162,worked on this,fixed,,,,,,
190,worked on this,fixed,,,,,,
214,not clear,,,,,,,
